user_id,app_id,usage_minutes,rating,timestamp,review
1,95,29,2.7,27:07.1,A nice code teaching app.
1,36,49,2.2,27:07.1,Best job application.
1,32,117,3.7,27:07.1,it is a very very good app
1,29,173,3.8,27:07.1,scalping index me TP aur SL Ho to majaa aayegaa achha experience hoga sabhi time frame me time show ho jaaye to achhaa
2,20,35,2.8,27:07.1,very Helpful
2,28,112,3.2,27:07.1,highly recommended to everyone
2,98,157,3.8,27:07.1,This is a great app to get started with SQL programming language.
2,44,118,3.6,27:07.1,good experience
2,14,190,3.5,27:07.1,very good until you have to pay
2,12,208,4.3,27:07.1,Had a feature to set a timer to end after a certain number of chapters. They removed it! I'm downgrading!
3,22,47,2.6,27:07.1,"Enrolled in a course, This is John, I have successfully enrolled for course after downloading app in Google playstore. I saw this course in Facebook page and you can add your Playstore app download url. Thank you."
3,69,73,2.2,27:07.1,demo 2 rs bolke 699 rs debit krte hai. our refund policy bolke froud krte hai...
3,94,127,3.8,27:07.1,As a student of Computer science i really appreciate this app.It is really helpful.
3,32,136,3.5,27:07.1,It's good app
3,21,267,4.4,27:07.1,no longer good . Service becoming too worse day by day. I'm facing problem from few days but they don't even care of this. ctet pyp maths and science question always showing improperly. Need to improve. Your call support was totally wastes of time. Every time I contact a new person is answer and I need to explain the same accordingly.....
3,60,147,3.2,27:07.1,"These scripts maintain the emphasis on direct calls, time-saving screened profiles, and the affordability of the service."
3,49,194,3.4,27:07.1,good service
3,35,196,3.7,27:07.1,Not too complicated..just the verification section
4,38,62,2.7,27:07.1,totally useless I applied for internship not hired I used it for 1 month continue I try this for one month
4,56,111,3.3,27:07.1,Nice appp....
4,21,184,3.1,27:07.1,Application ko Update krne ke baad Aap Offline Download video Without internet nhi dekh skte h kya fayda h aise update se .Agar apke pass recharge nhi aur apne pahle hi recorded class download kia h to bhi apko application open krne ke liye internet chahiye matlab bina internet ke app open krne par You Seem To be offline.. please check your internet connection and try again display hota h bahut h cheap app ho gya h update ke baad isliye koi bhi update na Krna ...
4,59,164,3.9,27:07.1,A great app..does exactly what it is meant to do.. Love reading news and helps us keep aware of what is going on in the world in brief..let's Keep making the app more robust..6
4,1,171,3.6,27:07.1,it aint bad pretty solid
4,93,298,4.2,27:07.1,its easy to use on the phone and it delivers great service.
5,68,70,2.3,27:07.1,"I found the adds to be too many and take too much time. For an app that in my opinion is not good quality, the developers really believed that it would be worth watching those ads? No chance!"
5,78,62,2.3,27:07.1,"It's not a free app, and that was ok, because the value you used to get from a lifetime subscription (when it was on sale) was way better than other apps, like 5 stars. Now they decided to offer the same price for 3 years instead and remove lifetime offer, just at the start of Black Friday without telling the community before the change. The app is good, but the BF offer is not on the level of the competency."
5,55,121,3.3,27:07.1,weldon very good
5,28,114,3.1,27:07.1,Treasure of knowledge and it's real time.
5,70,184,3.5,27:07.1,answer of a question is wrong in gk quiz of mes school pattambi it says the most populated country in the world is china even though it is India even tgough my school payed the subscription for a year
6,32,41,2.8,27:07.1,all good I am so happy
6,61,71,2.4,27:07.1,app experience and UI is not good at all.
6,53,134,3.2,27:07.1,nice products gd discount
6,25,101,3.7,27:07.1,it's the best app for NEET & JEE. ESPECIALLY EASY WAY TO UNDERSTAND SUBJECT. THANK YOU FOR GIVING THIS App
6,13,129,3.7,27:07.1,"Brilliant app, so many books on here and way better price than other apps doing the same thing. No limits to how much you listen either which is perfect."
6,85,287,4.8,27:07.1,"This app is very usefull to learn the c language step by step but one problem is that all stuff in this app isn't free and we need to buy the app+ for that, which I think should be free because it will help to learn more."
6,56,156,3.3,27:07.1,very good news reporting
6,46,433,5,27:07.1,it's an excellent app
7,28,5,1,27:07.1,"I finally found an app that can offer courses witch I need, thanks edX"
7,8,63,2.5,27:07.1,I'm Zest YTB and I'm grateful to be here
7,75,86,2.2,27:07.1,f i can't open it
7,95,123,3.2,27:07.1,great app for beginners
7,70,180,3.3,27:07.1,Good experience
8,97,10,1.5,27:07.1,This is Best Code Editor
8,10,67,2.2,27:07.1,This app is so nice it's help to earn money and entered us it's very helpful to reader and writter
8,2,145,3.6,27:07.1,good but better to use in tablet/iPad with a stylus
8,59,119,3.8,27:07.1,it fees like many other news outlets this application is also facing pressure from wrong people of specific identity. It was working wonderfully earlier but now its loosing its basic tech.
8,80,188,3.3,27:07.1,i like this app because there is no ads and its free
8,73,295,4.8,27:07.1,interesting chijen hai
8,13,348,5,27:07.1,It was always laging
9,82,62,2.1,27:07.1,well simplify
9,34,82,2.4,27:07.1,"love thr app, makes it so easy to do my work."
9,21,91,2.8,27:07.1,"after paying for this app , i was asked to explore by myself and no guidance was given by the counsellor this is the 2 nd time happened with me after taking batch they wont even ask u after buying ur course."
9,95,169,3.2,27:07.1,its awesome app to use when you want to learn about coding
9,57,160,3.7,27:07.1,"was great, will be great again when I stop getting bothered to rate the app. The wait continues. The wait still continues"
9,71,277,4.8,27:07.1,This app is so helpful when reading.I love it
10,90,23,1.3,27:07.1,good for coding on phone
10,14,86,2.4,27:07.1,love how you can earn coins to keep reading. really enjoy the stories so far.
10,49,157,3.6,27:07.1,best working
10,5,120,3.6,27:07.1,i liek my logo
10,61,237,4.7,27:07.1,"If you have craze to be updated on what is happening in the world, especially in Business domain, Mint is one of the best bet. Breaking news to deep dive analysis, Mint provides very authentic information that anyone can be assured of."
10,29,179,3.8,27:07.1,if the is negative star I will definitely rate -3 star.. dont ever download or invest it ... Hidden charges will eventually consume or drain ur balance ... NOTE.. Break even point is almost next to imposible u have to sell above 50% of ur purchase to Gain profit .. RIP grow
11,67,25,1.9,27:07.1,This app is among my fav now
11,69,92,2.8,27:07.1,very bad i don't like this
11,88,132,3.3,27:07.1,ok so I read a lot of the reviews on here and many of them mention the plan. its true you pay the $25 and that is your credit. once that is used up you are required to pay for any overages you used in the app. I've noticed that the other comments about it making errors and then charging you to fix them is also true. but these mostly occurs when you give it a long string of commands to complete at once or unclear instructions. otherwise it will implement your instructions and ask for approval
11,93,195,3.7,27:07.1,"Html ,js ,css is found"
11,95,216,4.8,27:07.1,best way to learn python
11,86,331,5,27:07.1,good app for being your ai journey
11,26,337,5,27:07.1,Very nice app for revision. but sometimes the content is of a different chapter meanwhile the numbring is different.
12,11,41,2.8,27:07.1,my fav app while traveling!
12,37,50,2.1,27:07.1,unlike most of the useless time wasting app ...this app works wonders .. I created my profile with no hope but within a week it sends me multiple of jobs and opportunities
12,66,111,3.4,27:07.1,"I wish you didn't have to switch to photomath plus to get the explanations...for the rest, it's perfect!"
12,85,192,3.4,27:07.1,"So easy to understand, best for preparing for your tests and examns"
12,82,176,3.4,27:07.1,it is help me learn new thing today
13,72,52,2.4,27:07.1,very interesting and intelligent game
13,32,96,2.8,27:07.1,"such a good apps for UPI,instant loan, navi trezo"
13,16,144,3.6,27:07.1,worst experience. course not loading after purchase of coursera plus annual. enrolled courses were not synced between web and app. chat support is not reachable. this is exactly why i dont buy paid plans.
13,59,163,3.7,27:07.1,excellent news app . also include today's history section
13,18,238,4.2,27:07.1,"They will not let you delete your account. You are stuck with it. And every time you log in, it requires a verification code from your email, and there's no option to turn that feature off."
13,60,212,4.4,27:07.1,The worst thing about the news is that it's 18+ times. Are there poor children or ladies? Don't you know that everyone will see it? We can't uninstall this app.
13,86,170,3.8,27:07.1,I loving CodingX because it has tons of free online courses. Please hurry up with the other courses you said are coming soon. Can't wait!
14,62,72,2.6,27:07.1,Tumkur is second largest district by area
14,1,79,2.1,27:07.1,"It's a really a good app. If you use it smartly, you can use it in various way."
14,46,132,3.5,27:07.1,"worthy app,"
14,39,154,3.6,27:07.1,"this lokal job app is good and very useful to ,I give five star because catches a job from this app now I am earning so go for it"
14,97,209,4.1,27:07.1,like me if some one not have laptop or computer the use this app
14,50,239,4.7,27:07.1,diliram terang
14,54,181,3.1,27:07.1,all medicines available
14,69,206,4.9,27:07.1,operate Krna hi nhi aaya
15,80,60,2.9,27:07.1,"App is ok, but could improve learning reinforcement"
15,20,97,2.6,27:07.1,won't let you reach 85 percent completion so that you can't get the certificate
15,31,139,3.3,27:07.1,customer support is bad. it's hard to contact a customer support via call. Zerodha has the best customer support where i can talk to a customer support person within minutes. peace of mind.
15,17,180,3.9,27:07.1,Educative app
15,61,291,4.2,27:07.1,Great app!!
16,6,44,2.5,27:07.1,too many ads. even for using standard tools like text tool or choosing a colour..
16,45,70,2.9,27:07.1,but I need a catagory barista coffee maker option
16,69,112,3.5,27:07.1,bahut achche se padate ho concept...very good
16,55,198,3.4,27:07.1,all information in 1minute
17,58,57,2.4,27:07.1,Why non relevent videos are added in every news. You have some logic to show it but it defeats purpose in my view. Those videos appear grossly not relevant to news one is reading and waste of time if opened by mistake.
17,32,68,2.4,27:07.1,It's good app
17,97,129,3.1,27:07.1,nothing but a boring app
17,60,199,3.5,27:07.1,hiring in local app sharing applicant contact all is old candidate list loss of money and time West
18,3,30,2.5,27:07.1,very good aap
18,12,112,3.4,27:07.1,"I love being able to listen to audio books on my commute or doing chores. Audible has an excellent collection of books to choose from, but their free options are limited and often glitch, making them irrelevant. (that's why 4) For $14.99 a month, I get 1 credit, which allows me to get one audiobook per month. You can buy books individually and not pay the monthly subscription fee, but, it's more economical to get a credit. There are other tiers of subscriptions and they have annual plans too."
18,38,87,2.7,27:07.1,"excellent, experience on internshala, this is platform where I got responses ,in very less duration, I applied for any job ,the platform is so user friendly too easy to use a get a job."
18,29,147,3.3,27:07.1,hello groww brokerage charges low please
18,52,279,4.3,27:07.1,App not working. Fail to reschedule lab test..
18,89,234,4.3,27:07.1,Easy to use and understand
18,32,342,5,27:07.1,received so less rewards
19,74,33,2.9,27:07.1,Good experience
19,37,64,2.2,27:07.1,Apna app is a good opportunity for job seekers and quick response for the human resources (HR) management
19,61,92,2.6,27:07.1,Great app!!
19,62,196,3.4,27:07.1,very good news chanal
20,58,33,2.7,27:07.1,for better knowledge right way to grow lifetime understand with my world
20,57,46,2.3,27:07.1,very good app
20,39,144,3.6,27:07.1,This is very useful app. The finding of job for youth is very useful.Great app .
20,76,154,3.8,27:07.1,"It's a shame because it doesn't have an entire list of other foreign languages such as Arabic,Hebrew and UKrainian which are what I'm studying and learning on my own"
20,55,274,4.6,27:07.1,"This is best,public is updated daily with this news."
20,40,224,4.2,27:07.1,The writer was quick and precise.
20,73,208,4.3,27:07.1,"Very good app, I am learning Spanish and Chess"
20,80,231,4.7,27:07.1,to much ads
21,57,18,1.2,27:07.1,Bugg-Fixing is Invidual Issue For Each Time Need-Base-Conveince.
21,11,82,2.7,27:07.1,Seamless and ubiquitous!
21,77,97,2.4,27:07.1,"I already had this app installed 2 times. On the first time, I only had men DMing me and being creeps, to which I reported them and nothing happened. Now on the second time, I only changed my PFP to a more recent one and almost immediately got my account and device banned for ""political reasons"", even if my photo had absolutely NOTHING political. I tried to contact support for multiple days asking to see what I did that was so political and I keep receiving the same automated response."
21,6,170,3.4,27:07.1,"Extremely BASIC but still awesome to use. I would only suggest a ""blur"" tool."
21,56,239,4.6,27:07.1,"The search option shows the old news when I asked for today's news.But, the ask icon works good but not much as expected."
21,95,164,3.3,27:07.1,"I had to install this program just to try it out. I chose Python to learn, but two days later they started offering me a web design course, even though I didn't ask for it. What I managed to learn in two evenings of Python were general phrases about its usefulness and variables. The main goal of this project is to extort money from dubious materials. My advice: buy a good, serious book and study from it. I install it to engage my child with coding but this app is not good."
21,42,338,5,27:07.1,it's really good that atleast you get to know.........
21,78,353,5,27:07.1,For the first look this app looks really nice. Are you planning to add more advanced parts of the courses B2-C1 or the level B1 is the final destination for all of the languages?
22,35,31,2.1,27:07.1,brava per cercare lavoro
22,71,84,2.5,27:07.1,It's a quick AI that can help you in any subject as you like it can even remember everything after it got deleted also
22,17,82,2.9,27:07.1,"Learning never stops with Udemy. this app is amazing. I will recommend it anytime, anywhere."
22,37,175,3.7,27:07.1,superb work done
23,71,59,2.2,27:07.1,"this app is really perfect for students in this app is very useful ,I solved so many questions thanks for solving the questions"
23,19,110,3.8,27:07.1,why dont u get some good developers your app is always gliches in the middle of doing anykind of job even opening it. the content is good but app developers are very bad and gliches is pro level irritates users very much .
23,50,172,3.5,27:07.1,you are best app ni india
23,25,166,3.5,27:07.1,I will only say don't use this app if you want to be a failure in your life.
23,77,170,3.4,27:07.1,im unable to login pls helpme im wating from months please help me
24,49,38,2.6,27:07.1,easy to use
24,50,82,2.7,27:07.1,Koi kam k nahi h
24,85,129,3.9,27:07.1,very nice inbuilt compiler i understand 80 % of coding from here
24,84,143,3.4,27:07.1,Awesome app
24,20,271,4.5,27:07.1,very impressive teaching methodology including theory and practicality with practice exercise.
24,64,237,4.7,27:07.1,clear are social economic
24,5,230,4.3,27:07.1,"Horrible app. Got it mainly for background removal (png). It misses spots, it's rough around the edges, it lacks detail, and gives everything a glittery/shimmering look. I spent all night messing around with it. Did I mention it's show. Not one usable image."
25,46,28,2.6,27:07.1,very helpful
25,48,55,2.8,27:07.1,Good Job opportunities
25,56,91,2.6,27:07.1,best news app good news in this app
25,19,164,3.5,27:07.1,this app not working properly
26,82,37,2.4,27:07.1,"I believe it is a useful app but after the new update I cannot access the Pro features I paid quite a bit for, and the app seemingly forgot I ever had Pro. This is quite disheartening and since I am a student I do not have the funds to purchase Pro again. EDIT: the team got back to me within the half hour and restored my purchase. Upgraded rating to 4 stars"
26,55,82,2.9,27:07.1,what a fast news wow super excellent.
26,89,111,3.6,27:07.1,this is the best app I ever installed. it's working perfectly.thanks so much
26,33,171,3.6,27:07.1,great trading platform
26,59,172,3.6,27:07.1,stopped refreshing after last update and become very slow now
26,39,298,4.7,27:07.1,this is very good application for finding a job
26,26,328,5,27:07.1,not useful because it just waste of money rupees 4000 have lost for me.pls don't login
26,50,410,5,27:07.1,best aap and very halpful
27,96,44,2.8,27:07.1,"It is very good and very smooth. Please add vpython. Also I please add some of the premium features to the free one. Overall, its the BEST"
27,44,95,2.3,27:07.1,money motive. nothing happened.
27,15,133,3.4,27:07.1,its really good but I feel like it would be better if it had like a fyp with books they think you'd like or a built in literature map
27,60,160,3.1,27:07.1,best app lacal app hiring
27,10,130,3.8,27:07.1,very nice story
27,19,148,3.9,27:07.1,soo much lags in this app
27,97,244,4.5,27:07.1,Why there is no option to enter the values for output?? Eg My output is Enter your age:when i click there there is no feedback to allow me to enter my details
28,76,69,2.9,27:07.1,Really good app so far
28,96,75,2.9,27:07.1,they mot coming it not good
28,94,119,3.4,27:07.1,it only gave error
28,20,124,3.6,27:07.1,best platform to learn
28,54,152,3.6,27:07.1,overall good
28,84,228,4.8,27:07.1,The course is easy to understand and keeps you interested.
28,13,249,4.9,27:07.1,its a really baaaad one and not for free btw
28,63,221,4.8,27:07.1,Todays Hindustan Times (Mumbai) has cricket as its headlines...I've been a subscriber to HT for last 10 years and I think this is disgraceful. There are more important happenings around India and this is what you print? Cricket ?
29,42,24,1.1,27:07.1,didn't got any call from it
29,3,108,3.6,27:07.1,Great and helpful
29,23,106,3.7,27:07.1,"if you are preparing for competitive exam, now you are in best place now!"
29,34,93,2.9,27:07.1,Easy to use
29,7,225,4.8,27:07.1,very nice app for drawing
30,36,47,2.9,27:07.1,nice experience
30,80,103,3.2,27:07.1,"interesting app recommended for learning swahili . please, if you could add more free lessons, it would be more appreciated"
30,82,125,3.5,27:07.1,"Really, it's so good"
30,75,177,3.7,27:07.1,very helpful app!
31,20,8,1.7,27:07.1,nice course
31,88,90,2.5,27:07.1,"this is useful for students we can create app so we can learn by this , great app but u can only publish a single app at a time they might improve"
31,61,137,3.6,27:07.1,lot of useless
31,9,201,4.4,27:07.1,good app but to many ads after each download on a video
